Room_ID,Description,Number_of_Vertices,Shape_Type,Co-ordinates,Room_Length,Room_Width,Room_Height,Door_Width,Door_Height,Door_X_Position,Door_Y_Position,Door_Swing_Clearance,Toilet_Width,Toilet_Depth,Toilet_Height,Toilet_X_Position,Toilet_Y_Position,Toilet_X_End,Toilet_Y_End,Toilet_Rotation,Toilet_Front_Clearance,Toilet_Side_Clearance,Has_Toilet,Sink_Width,Sink_Depth,Sink_Height,Sink_X_Position,Sink_Y_Position,Sink_X_End,Sink_Y_End,Sink_Rotation,Sink_Front_Clearance,Sink_Side_Clearance,Has_Sink,Bathtub_Width,Bathtub_Depth,Bathtub_Height,Bathtub_X_Position,Bathtub_Y_Position,Bathtub_X_End,Bathtub_Y_End,Bathtub_Rotation,Bathtub_Entry_Clearance,Has_Bathtub,Bathtub_Front_Clearance,Bathtub_Side_Clearance,Room_Shape
B-027,Bathroom - Half Bath (2-Wall) - Facing,4,Rectangle,"""0,0 ;
0,36 ;
87,36 ;
87,0 ;
0,0""",66,90,88.52578327942068,30,84,33,36,30,28,19,15,6.162899347462588,6.1323336061792,28,28,90,22.718135573506878,10,1,36,21,33,-30.384408066845836,6.112279234582641,87,36,0,27.197495756884077,10,1,0,0,0,-125.36772221209092,-1.7346979018088249,0,0,270,0,1,24.23997090262245,21.789331592847127,Rectangle
B-059,Bathroom - Three-Quarter Bath (Wall Facing),6,L-Shaped,"""0,0 ;
60,0 ;
60,6 ;
96,6 ;
96,66 ;
0,66 ;
0,0""",83,84,95.9053961841856,30,84,27,66,30,19,28,15,12.369329799246175,7.366671085523842,28,28,0,21.30057904895424,10,1,21,30,33,6.691757989842404,21.69790595808491,21,66,90,25.790582541187497,10,1,60,36,15,-91.61254476369238,8.150027820600442,96,66,270,0,1,21.482011518077208,21.57278368960984,Rectangle
B-002,Bathroom - Half Bath (1-Wall),4,Rectangle,"""0,0 ;
0,60 ;
66,60 ;
66,0 ;
0,0""",65,73,96.49225066812016,30,84,66,3,30,19,28,15,7.0437268085154585,8.292459926393267,27,60,0,24.015665165083792,10,1,30,21,33,-1.2958710554545902,2.747860301299319,66,60,180,25.781865098369323,10,1,0,0,0,5.431934675441255,-94.60834499547612,0,0,90,0,1,22.848844973335492,22.15633197515653,Rectangle
B-027,Bathroom - Half Bath (2-Wall) - Facing,4,Rectangle,"""0,0 ;
0,36 ;
87,36 ;
87,0 ;
0,0""",63,83,91.7560253857931,30,84,33,36,30,19,28,15,-20.274190183974937,7.815703830281874,28,28,0,24.512122549891856,10,1,21,36,33,7.067061960132634,13.86526659196355,87,36,90,26.313002762332207,10,1,0,0,0,-126.24487681393964,6.436271873337368,0,0,270,0,0,21.40306671858216,23.098423157284984,Rectangle
B-053,Bathroom - Three-Quarter Bath (2-Wall),4,Rectangle,"""0,0 ;
0,100 ;
72,100 ;
72,0 ;
0,0""",69,67,94.52937438543036,30,84,3,100,30,19,28,15,26.249040240839776,7.807283260101015,28,28,0,22.8147165000711,10,1,21,36,33,7.587460372537676,9.862759923669348,72,100,90,27.69607969542525,10,1,36,60,15,10.477306607906268,9.914625479430782,72,60,0,24,0,22.76865258660519,22.89149464134973,Rectangle
B-007,Bathroom - Three-Quarter Bath (1-Wall),4,Rectangle,"""0,0 ;
0,60 ;
102,60 ;
102,0 ;
0,0""",93,90,96.03820315877456,30,84,0,3,30,28,19,15,-15.669868831801343,21.114930181612216,59,60,270,21.459580455854315,10,1,30,21,33,-14.063862493312282,7.282303094074088,30,60,0,25.30652731168385,10,1,60,36,15,-96.28886966089884,9.730796627248468,102,60,270,24,1,24.746925795187035,21.81937738638379,Rectangle
B-049,Bathroom - Three-Quarter Bath (2-Wall),4,Rectangle,"""0,0 ;
0,72 ;
100,72 ;
100,0 ;
0,0""",90,78,104.05333713518333,30,84,0,39,30,19,28,15,10.529327801575144,20.040163216230955,100,64,180,24.48591634477674,10,1,21,36,33,6.855146259104716,32.16503606722504,36,21,90,29.06625579340489,10,1,60,36,15,7.402324364345772,-34.18240177855499,100,36,90,24,1,24.589252737864012,24.418281686185345,Rectangle
B-011,Bathroom - Half Bath (1-Wall),4,Rectangle,"""0,0 ;
0,60 ;
66,60 ;
66,0 ;
0,0""",88,100,98.3012872230239,30,84,3,0,30,28,19,15,9.002285466543386,6.625764563622611,57,60,90,23.96169878600537,10,1,30,21,33,2.4993148989278966,8.644134264681018,30,60,0,27.82998772960198,10,1,0,0,0,-25.701118303021453,6.051199948967412,0,0,0,0,1,22.548179850192643,22.06642242736049,Rectangle
B-052,Bathroom - Three-Quarter Bath (2-Wall),4,Rectangle,"""0,0 ;
0,100 ;
72,100 ;
72,0 ;
0,0""",75,61,86.45583270713945,30,84,39,100,30,19,28,15,21.847569422595683,-8.48572763387499,64,28,180,20.071229802163213,10,1,21,36,33,36.408798561403614,-8.489448159069989,21,100,270,28.75084729267983,10,1,36,60,15,9.092108409415296,8.75944823116,36,60,0,24,1,24.997786434599647,24.8975250470111,Rectangle
B-025,Bathroom - Half Bath (1-Wall),4,Rectangle,"""0,0 ;
0,60 ;
66,60 ;
66,0 ;
0,0""",63,79,91.04674824873906,30,84,3,60,30,19,28,15,4.023490218412633,-15.683512222670585,57,28,180,24.106663388454216,10,1,30,21,33,-2.203113236829891,6.347675552703922,30,21,0,25.72373389522563,10,1,0,0,0,5.24721989389038,7.877774508824452,0,0,0,0,1,23.743048037047892,21.26731130349335,Rectangle
B-011,Bathroom - Half Bath (1-Wall),4,Rectangle,"""0,0 ;
0,60 ;
66,60 ;
66,0 ;
0,0""",79,85,101.7990258098952,30,84,3,0,30,28,19,15,5.913565412639442,1.0330181972712955,57,60,90,24.769463609661088,10,1,30,21,33,-22.085756393417824,7.599945318525681,30,60,0,25.41572984982305,10,1,0,0,0,-21.248976147957865,6.261718145033216,0,0,0,0,0,23.234092654975964,21.72661230435016,Rectangle
B-051,Bathroom - Three-Quarter Bath (2-Wall),4,Rectangle,"""0,0 ;
0,100 ;
72,100 ;
72,0 ;
0,0""",84,81,104.28768049981798,30,84,39,0,30,19,28,15,23.45639507533574,9.890843539656778,64,100,0,20.538528424215805,10,1,21,36,33,33.405077297645484,4.341788150710828,21,36,270,25.381534421249253,10,1,60,36,15,-68.17648607044336,-3.5694559389846416,36,100,270,24,1,22.898373431215997,22.664022046100666,Rectangle
B-029,Bathroom - Half Bath (2-Wall) - Facing,4,Rectangle,"""0,0 ;
0,87 ;
36,87 ;
36,0 ;
0,0""",70,76,100.8689185138242,30,84,36,33,30,19,28,15,17.50997122577754,-46.449970957651615,28,28,180,21.101689193010436,10,1,36,21,33,3.876943517882872,7.735011710085722,36,87,0,28.734715400992688,10,1,0,0,0,-79.3726722351455,-5.405752732982293,0,0,270,0,0,24.872200599376548,23.959476777615667,Rectangle
B-010,Bathroom - Three-Quarter Bath (Wall Facing),6,L-Shaped,"""0,0 ;
96,0 ;
96,66 ;
36,66 ;
36,60 ;
0,60 ;
0,0""",66,64,104.91775495264756,30,84,39,0,30,19,28,15,8.026675484969642,23.55422658704473,96,57,180,20.822279083797905,10,1,30,21,33,1.2230257859656026,44.26219425906476,96,30,180,29.06693879695493,10,1,36,60,15,3.603268635080241,6.249118692033994,36,60,0,0,1,22.99697170138662,23.441970047671745,Rectangle
B-036,Bathroom - Three-Quarter Bath (1-Wall),4,Rectangle,"""0,0 ;
0,102 ;
60,102 ;
60,0 ;
0,0""",69,83,87.29253053709247,30,84,60,3,30,28,19,15,6.76651852094645,4.469418652701339,28,58,90,22.14046705436972,10,1,30,21,33,21.500905892231373,8.232522322159603,21,30,0,26.958626359501324,10,1,60,36,15,-52.669428034149846,-8.747040175008138,60,102,270,24,1,22.047445763257937,20.09185329980175,Rectangle
B-037,Bathroom - Three-Quarter Bath (1-Wall),4,Rectangle,"""0,0 ;
0,102 ;
60,102 ;
60,0 ;
0,0""",83,99,88.7174729276694,30,84,60,69,30,19,28,15,51.149906268980914,6.593425035055461,28,64,0,21.59256225964392,10,1,21,30,33,5.794009616205814,3.472025916890712,21,102,90,26.060963526796336,10,1,60,36,15,-55.49677181613622,-24.726335252906477,60,36,270,24,0,22.85150457021116,20.67585637940377,Rectangle
B-026,Bathroom - Half Bath (2-Wall) - Facing,4,Rectangle,"""0,0 ;
0,36 ;
87,36 ;
87,0 ;
0,0""",93,94,102.21114618748592,30,84,24,0,30,19,28,15,-6.1239534465188985,9.211239966858235,87,28,0,20.602095518038244,10,1,21,36,33,-17.620464743403016,3.794709915549328,21,36,270,29.86164071956897,10,1,0,0,0,-35.7005778185864,7.962470989684392,0,0,0,0,1,23.899746691415643,24.809667950360478,Rectangle
B-012,Bathroom - Half Bath (1-Wall),4,Rectangle,"""0,0 ;
0,66 ;
60,6 ;
60,0 ;
0,0""",65,100,98.94288683232004,30,84,60,3,30,28,19,15,-15.122516778270343,6.310197185788296,28,58,270,20.50314355794834,10,1,30,21,33,-5.0833245447230535,7.244660683781426,21,30,0,27.977369506610582,10,1,0,0,0,-20.110083744601027,5.995366150374844,0,0,0,0,1,24.365261487335367,21.412633753994943,Rectangle
B-024,Bathroom - Half Bath (1-Wall),4,Rectangle,"""0,0 ;
0,60 ;
66,60 ;
66,0 ;
0,0""",65,86,100.20477204036769,30,84,33,60,30,19,28,15,5.654194240441524,9.841828594400951,28,28,0,22.572725402924224,10,1,21,30,33,1.336910255490796,-6.097327144917996,66,21,270,28.373747188553097,10,1,0,0,0,-17.475985996180334,7.726678717873325,0,0,0,0,1,21.79707719231876,21.723681086976757,Rectangle
B-048,Bathroom - Three-Quarter Bath (2-Wall),4,Rectangle,"""0,0 ;
0,72 ;
100,72 ;
100,0 ;
0,0""",67,99,90.66579673250676,30,84,100,39,30,28,19,15,-6.129873248899504,30.063703476427275,28,64,270,20.398601760188363,10,1,21,36,33,15.488919319989083,7.951513038076588,100,21,270,25.59915369683351,10,1,36,60,15,-1.296384126638463,5.957619134929869,60,36,0,24,1,21.757927759014787,24.924506717120227,Rectangle
B-027,Bathroom - Half Bath (2-Wall) - Facing,4,Rectangle,"""0,0 ;
0,36 ;
87,36 ;
87,0 ;
0,0""",72,73,92.7116959306492,30,84,33,36,30,28,19,15,8.80511092997633,7.116300051356587,28,28,90,21.981281340874453,10,1,36,21,33,-13.242360203678796,6.395671198062068,87,36,0,26.18665275573487,10,1,0,0,0,-37.19512724440998,-72.69545759715268,0,0,180,0,1,21.844057088172875,21.263185977850316,Rectangle
B-056,Bathroom - Three-Quarter Bath (2-Wall) - Center,6,L-Shaped,"""21,0 ;
87,0 ;
87,72 ;
0,72 ;
0,36 ;
21,36 ;
21,0""",81,65,94.16206177213463,30,84,24,72,30,28,19,15,-6.502708685617543,9.565364875332373,87,64,270,20.091808667683303,10,1,21,36,33,14.807006899402708,4.94544169729177,21,72,270,28.42543729450901,10,1,66,36,15,5.708819810495863,-41.6198900459027,87,36,90,24,1,24.150186895513524,22.146184566964045,Rectangle
B-028,Bathroom - Half Bath (2-Wall) - Facing,4,Rectangle,"""0,0 ;
0,36 ;
87,36 ;
87,0 ;
0,0""",88,64,100.78279633723008,30,84,24,36,30,28,19,15,-43.229085708571866,29.94417450222745,28,28,270,22.053253141576157,10,1,21,36,33,-21.44153443549898,7.533595356288616,87,36,270,28.155255958069056,10,1,0,0,0,-125.70269402100224,5.595263054011672,0,0,270,0,1,20.670360453150984,22.286153867887105,Rectangle
B-038,Bathroom - Three-Quarter Bath (1-Wall),4,Rectangle,"""0,0 ;
0,102 ;
60,102 ;
60,0 ;
0,0""",68,85,99.70671523717527,30,84,0,69,30,19,28,15,37.43158271532307,-23.66642343429416,60,64,180,21.53450328130652,10,1,21,30,33,7.710439994997293,-0.8504788905240916,60,102,90,26.19191100453825,10,1,60,36,15,8.433188715460055,-35.916367588570296,60,36,90,24,0,21.23916227567834,23.49947100053268,Rectangle
B-056,Bathroom - Three-Quarter Bath (2-Wall) - Center,6,L-Shaped,"""21,0 ;
87,0 ;
87,72 ;
0,72 ;
0,36 ;
21,36 ;
21,0""",70,95,100.52857490533852,30,84,24,72,30,19,28,15,14.527425346996925,3.482286281244919,87,64,180,24.992280600007337,10,1,21,36,33,9.368761327085892,18.0324112878504,21,72,90,27.355547069304112,10,1,66,36,15,-84.97651731738802,8.231955887047928,87,36,270,24,0,22.1940604970302,20.25721845162916,Rectangle
B-039,Bathroom - Three-Quarter Bath (1-Wall),4,Rectangle,"""0,0 ;
0,102 ;
60,102 ;
60,0 ;
0,0""",97,71,91.7263091505981,30,84,0,3,30,19,28,15,37.45933655840918,-16.969484332227786,60,58,180,24.88437584145737,10,1,30,21,33,15.69224219699714,3.703554420520902,60,30,180,26.3142419501654,10,1,60,36,15,8.06035211403914,-79.8769031225732,60,102,90,24,1,21.174141551002545,21.62905046088227,Rectangle
B-035,Bathroom - Three-Quarter Bath (1-Wall),4,Rectangle,"""0,0 ;
0,60 ;
102,60 ;
102,0 ;
0,0""",83,77,88.60967549048259,30,84,69,60,30,19,28,15,2.846756739570641,7.76308223376861,63,28,0,21.93721446990022,10,1,21,30,33,5.274665580790401,46.198539414498256,102,21,90,28.878429928605037,10,1,36,60,15,-8.093416404508558,-51.17468369762349,36,60,180,24,1,24.945472976173377,23.926937514476958,Rectangle
B-024,Bathroom - Half Bath (1-Wall),4,Rectangle,"""0,0 ;
0,60 ;
66,60 ;
66,0 ;
0,0""",78,73,100.20477204036769,30,84,33,60,30,19,28,15,5.654194240441524,9.841828594400951,28,28,0,22.572725402924224,10,1,21,30,33,1.336910255490796,-6.097327144917996,66,21,270,28.373747188553097,10,1,0,0,0,-17.475985996180334,7.726678717873325,0,0,0,0,1,21.79707719231876,21.723681086976757,Rectangle
B-002,Bathroom - Half Bath (1-Wall),4,Rectangle,"""0,0 ;
0,60 ;
66,60 ;
66,0 ;
0,0""",69,76,92.45667011821436,30,84,66,3,30,19,28,15,6.527633733988392,9.8476939114894,27,60,0,24.584788611668767,10,1,21,30,33,6.629925761222095,6.839096642617898,66,60,90,25.237194220847957,10,1,0,0,0,-14.845004102448012,-96.89053721123454,0,0,180,0,1,23.173856510468607,20.478153523412956,Rectangle
B-027,Bathroom - Half Bath (2-Wall) - Facing,4,Rectangle,"""0,0 ;
0,36 ;
87,36 ;
87,0 ;
0,0""",78,95,99.2256625757676,30,84,33,36,30,19,28,15,-8.554893688450168,-2.127156379555256,28,28,180,23.081300691068783,10,1,36,21,33,-33.6215853622771,20.86595496308412,87,36,180,25.514828842854516,10,1,0,0,0,8.640112777460272,-61.3796698871883,0,0,90,0,1,23.974943713367736,21.226861868401137,Rectangle
B-040,Bathroom - Three-Quarter Bath (1-Wall),4,Rectangle,"""0,0 ;
0,60 ;
102,60 ;
102,0 ;
0,0""",80,63,93.1612416951011,30,84,102,3,30,19,28,15,6.690775434166316,25.683828952403005,63,60,180,21.741787942591102,10,1,21,30,33,7.424268068062716,32.0689228036653,102,60,90,25.38155369910269,10,1,60,36,15,5.307145799466349,2.5246668640304715,36,60,90,24,1,22.05495210970389,20.8755109029228,Rectangle
B-020,Bathroom - Half Bath (2-Wall),4,Rectangle,"""0,0 ;
0,66 ;
57,66 ;
57,0 ;
0,0""",85,93,103.17032119968611,30,84,0,33,30,28,19,15,-11.531414588130762,8.572116950461348,28,28,270,20.673274880892567,10,1,21,36,33,9.607971384518244,4.408634682007019,57,66,90,29.35354843947584,10,1,0,0,0,5.594399921531707,-64.59727111099795,0,0,90,0,1,23.920252893069623,23.057213507389985,Rectangle
B-001,Bathroom - Half Bath (1-Wall),4,Rectangle,"""0,0 ;
0,60 ;
66,60 ;
66,0 ;
0,0""",64,93,94.22713130933845,30,84,30,0,30,19,28,15,2.023798886851941,-14.179267142756949,27,60,180,23.87771659852651,10,1,21,30,33,7.613239568406886,5.533752674993359,66,60,90,29.99304456172215,10,1,0,0,0,-4.547175587914408,9.693612413496,0,0,0,0,1,24.385391784653184,21.56281810879844,Rectangle
B-019,Bathroom - Half Bath (2-Wall),4,Rectangle,"""0,0 ;
0,57 ;
66,57 ;
66,0 ;
0,0""",71,61,102.2475458196556,30,84,3,57,30,19,28,15,3.346747160920315,-18.979746303711863,66,49,180,23.705302270671485,10,1,21,36,33,8.913348701741423,6.441257547869942,36,21,90,26.352744648260543,10,1,0,0,0,-13.20427150563827,7.742516083498151,0,0,0,0,1,23.17573518081746,23.21310649651525,Rectangle
B-047,Bathroom - Three-Quarter Bath (2-Wall),4,Rectangle,"""0,0 ;
0,72 ;
100,72 ;
100,0 ;
0,0""",84,62,87.9784991004932,30,84,0,3,30,19,28,15,7.347894640410809,17.405565901095397,100,28,180,24.356830417621765,10,1,21,36,33,9.15674631710975,13.261240844156756,36,72,90,28.1364154253476,10,1,60,36,15,9.8315394748302,-45.1226364671217,100,72,90,24,0,21.99288107023222,23.20611488044244,Rectangle
B-004,Bathroom - Half Bath (2-Wall),4,Rectangle,"""0,0 ;
0,57 ;
66,57 ;
66,0 ;
0,0""",60,80,101.50180835448135,30,84,66,3,30,28,19,15,-20.425348163148243,8.168539460197026,28,28,270,23.55158472237354,10,1,36,21,33,-7.568394490733976,9.686227241933691,66,57,0,28.02377098383115,10,1,0,0,0,0.5926981774550306,7.734789368473132,0,0,0,0,1,20.24442235390016,23.271554834832163,Rectangle
B-030,Bathroom - Half Bath (2-Wall) - Facing,4,Rectangle,"""0,0 ;
0,87 ;
36,87 ;
36,0 ;
0,0""",71,78,101.62265364368248,30,84,36,24,30,19,28,15,17.36881200064615,9.35115089329146,28,87,0,20.429732799189416,10,1,21,36,33,30.149492969565813,-24.02169971943897,36,21,270,26.791678782582583,10,1,0,0,0,4.993986041393646,7.2701178090289,0,0,0,0,1,22.99390302344852,23.507636787208263,Rectangle
B-052,Bathroom - Three-Quarter Bath (2-Wall),4,Rectangle,"""0,0 ;
0,100 ;
72,100 ;
72,0 ;
0,0""",83,78,97.59164979652292,30,84,39,100,30,19,28,15,47.4299437562031,0.73204307030373,64,28,180,23.871778705019317,10,1,36,21,33,13.501326189257291,9.120593937140374,21,100,0,28.556008474349568,10,1,36,60,15,16.007119420969378,-81.49400285006524,36,60,180,24,1,20.93430228627972,23.552903661532376,Rectangle
B-003,Bathroom - Half Bath (2-Wall),4,Rectangle,"""0,0 ;
0,57 ;
66,57 ;
66,0 ;
0,0""",87,94,101.72386674248712,30,84,33,0,30,28,19,15,-22.28414435430464,7.622524084767785,28,28,270,20.454203580932507,10,1,36,21,33,-5.0759711557497935,5.800868006118455,66,57,0,25.785585059400557,10,1,0,0,0,-17.150906644953302,6.0594434348541135,0,0,0,0,1,24.102935413128808,20.782196877519823,Rectangle
B-004,Bathroom - Half Bath (2-Wall),4,Rectangle,"""0,0 ;
0,57 ;
66,57 ;
66,0 ;
0,0""",98,95,88.36519914304571,30,84,66,3,30,28,19,15,7.323089627692632,-5.221838397234201,28,28,90,20.13555843621707,10,1,21,36,33,8.304666705756317,3.707514752880384,66,57,90,26.68998913308504,10,1,0,0,0,-5.847037460722973,8.893657819565176,0,0,0,0,1,23.208564016405177,22.582578351735343,Rectangle
B-031,Bathroom - Half Bath (2-Wall) - Facing,4,Rectangle,"""0,0 ;
0,87 ;
36,87 ;
36,0 ;
0,0""",87,89,89.9587683105009,30,84,0,24,30,28,19,15,8.60013403222629,7.913139753694431,28,87,270,21.01029876014494,10,1,36,21,33,6.448590048448604,-21.18656887987634,36,21,180,29.025293109100243,10,1,0,0,0,6.681883491676084,-121.59527049093283,0,0,180,0,0,22.62832054292576,24.508680907251232,Rectangle
B-034,Bathroom - Three-Quarter Bath (1-Wall),4,Rectangle,"""0,0 ;
0,60 ;
102,60 ;
102,0 ;
0,0""",90,64,102.92977055713624,30,84,3,60,30,28,19,15,-14.79735843711443,38.479835862319305,58,28,270,21.50529647558636,10,1,30,21,33,-9.36775807357678,35.41510586337337,30,21,180,28.696231788661745,10,1,36,60,15,-14.465846555074066,7.6647543604244,102,60,0,24,1,23.856168731774567,23.47911269753633,Rectangle
B-008,Bathroom - Three-Quarter Bath (2-Wall),4,Rectangle,"""0,0 ;
0,72 ;
100,72 ;
100,0 ;
0,0""",76,79,93.5712360369036,30,84,100,3,30,19,28,15,13.858033192376276,8.004768947643381,28,28,0,21.398936606595907,10,1,36,21,33,-11.327990590847286,48.49082785919904,100,72,180,28.430160719268457,10,1,36,60,15,-9.08382667335087,8.711376941196168,60,72,0,24,1,21.31690091121694,20.215202528952045,Rectangle
B-044,Bathroom - Three-Quarter Bath (1-Wall),4,Rectangle,"""0,0 ;
0,102 ;
60,102 ;
60,0 ;
0,0""",75,89,93.04729346867356,30,84,3,0,30,28,19,15,5.03795595756303,-8.322111432030374,60,58,90,22.242056658509263,10,1,30,21,33,8.328230835390494,5.461337013884064,60,30,180,29.05618004182447,10,1,60,36,15,-67.70549928707258,-10.337807087603789,60,102,270,24,1,21.76622892451468,22.270552744595367,Rectangle
B-040,Bathroom - Three-Quarter Bath (1-Wall),4,Rectangle,"""0,0 ;
0,60 ;
102,60 ;
102,0 ;
0,0""",71,65,98.7969188643899,30,84,102,3,30,28,19,15,8.011876887867814,16.147615441110343,63,60,90,23.6463498400258,10,1,21,30,33,-0.1886436070091264,14.942146847144464,102,60,270,28.289568547812504,10,1,36,60,15,-15.027699170059469,7.162991428383899,36,60,0,24,1,23.13526346519173,24.90481148433988,Rectangle
B-039,Bathroom - Three-Quarter Bath (1-Wall),4,Rectangle,"""0,0 ;
0,102 ;
60,102 ;
60,0 ;
0,0""",93,89,93.14836786814058,30,84,0,3,30,28,19,15,21.960815132230465,6.5395860824859176,60,58,270,21.78103904320132,10,1,21,30,33,7.793114756918978,1.725163527951327,60,30,90,27.39406320437637,10,1,60,36,15,-62.20767304421958,-2.563799125631208,60,102,270,24,1,21.47844920574624,23.51335528416753,Rectangle
B-014,Bathroom - Half Bath (1-Wall),4,Rectangle,"""0,0 ;
0,60 ;
66,60 ;
66,0 ;
0,0""",82,71,90.94214967393252,30,84,66,27,30,19,28,15,1.420339890812369,8.265597678405463,28,28,0,24.895995996806093,10,1,21,30,33,5.544203642414511,5.430107555766294,66,21,90,27.898561784813232,10,1,0,0,0,-104.3013050134355,-9.53963531630002,0,0,270,0,1,24.855850727458616,21.43284843838253,Rectangle
