Room_ID,Description,Number_of_Vertices,Shape_Type,Co-ordinates,Room_Length,Room_Width,Room_Height,Door_Width,Door_Height,Door_X_Position,Door_Y_Position,Door_Swing_Clearance,Toilet_Width,Toilet_Depth,Toilet_Height,Toilet_X_Position,Toilet_Y_Position,Toilet_X_End,Toilet_Y_End,Toilet_Rotation,Toilet_Front_Clearance,Toilet_Side_Clearance,Has_Toilet,Sink_Width,Sink_Depth,Sink_Height,Sink_X_Position,Sink_Y_Position,Sink_X_End,Sink_Y_End,Sink_Rotation,Sink_Front_Clearance,Sink_Side_Clearance,Has_Sink,Bathtub_Width,Bathtub_Depth,Bathtub_Height,Bathtub_X_Position,Bathtub_Y_Position,Bathtub_X_End,Bathtub_Y_End,Bathtub_Rotation,Bathtub_Entry_Clearance,Has_Bathtub,Bathtub_Exists
B-013,Bathroom - Half Bath (1-Wall),4,Rectangle,"""0,0 ;
0,66 ;
60,6 ;
60,0 ;
0,0""",59.97164250766201,60.62688683475921,98.18966208001655,30,84,0,3,30,19,28,15,32.0,0.0,60,58,180,30,9,1,30,21,33,0.0,0.0,60,30,0,35,0,1,0,0,0,27.42337263503633,0.0,0,0,90,0,0,1
B-030,Bathroom - Half Bath (2-Wall) - Facing,4,Rectangle,"""0,0 ;
0,87 ;
36,87 ;
36,0 ;
0,0""",86.09278795657333,37.0530506169799,87.80131962146162,30,84,36,24,30,19,28,15,9.0,0.0,28,87,0,30,9,1,36,21,33,86.09278795657333,0.0,36,21,270,35,0,1,0,0,0,121.92564386539794,0.0,0,0,90,0,0,1
B-008,Bathroom - Three-Quarter Bath (2-Wall),4,Rectangle,"""0,0 ;
0,72 ;
100,72 ;
100,0 ;
0,0""",71.37856108155631,106.93711782031667,91.90995050121549,30,84,100,3,30,19,28,15,0.0,0.0,28,28,0,30,9,1,36,21,33,71.37856108155631,51.0,100,72,0,35,0,1,36,60,15,29.296876791404788,0.0,60,72,270,24,1,1
B-041,Bathroom - Three-Quarter Bath (1-Wall),4,Rectangle,"""0,0 ;
0,60 ;
102,60 ;
102,0 ;
0,0""",65.89049558226345,110.23914756498115,94.19170943483118,30,84,0,27,30,19,28,15,39.0,110.23914756498115,58,28,90,30,9,1,30,21,33,0.0,110.23914756498115,30,21,270,35,0,1,36,60,15,0.0,0.0,102,60,180,24,1,1
B-009,Bathroom - Three-Quarter Bath (2-Wall) - Center,6,L-Shaped,"""0,0 ;
87,0 ;
87,36 ;
66,36 ;
66,72 ;
0,72 ;
0,0""",72.82348275276097,88.669376263014,103.02552995467815,30,84,33,0,30,19,28,15,72.82348275276097,9.0,28,28,270,30,9,1,36,21,33,0.0,0.0,87,36,270,35,0,1,36,60,15,72.82348275276097,36.0,60,72,180,24,1,1
B-015,Bathroom - Half Bath (1-Wall),4,Rectangle,"""0,0 ;
0,66 ;
60,6 ;
60,0 ;
0,0""",68.41981984736798,64.38633942069582,97.07719845237537,30,84,0,33,30,19,28,15,32.0,0.0,60,28,180,30,9,1,30,21,33,39.0,64.38633942069582,60,66,0,35,0,1,0,0,0,68.41981984736798,0.0,0,0,180,0,0,0
B-001,Bathroom - Half Bath (1-Wall),4,Rectangle,"""0,0 ;
0,60 ;
66,60 ;
66,0 ;
0,0""",64.65733095688768,64.8618905037833,89.25674039787992,30,84,30,0,30,19,28,15,0.0,32.0,27,60,180,30,9,1,30,21,33,64.65733095688768,39.0,66,60,270,35,0,1,0,0,0,64.65733095688768,0.0,0,0,0,0,0,0
B-055,Bathroom - Three-Quarter Bath (2-Wall) - Center,6,L-Shaped,"""0,0 ;
0,72 ;
87,72 ;
87,36 ;
66,36 ;
66,0 ;
0,0""",65.62304962805479,82.33823754823176,99.51273469581133,30,84,33,72,30,19,28,15,0.0,0.0,28,64,90,30,9,1,36,21,33,65.62304962805479,36.0,87,72,90,35,0,1,36,66,15,25.11821535864007,0.0,66,36,90,24,1,1
B-056,Bathroom - Three-Quarter Bath (2-Wall) - Center,6,L-Shaped,"""21,0 ;
87,0 ;
87,72 ;
0,72 ;
0,36 ;
21,36 ;
21,0""",69.99907553233443,87.07958239590037,105.3447383246284,30,84,24,72,30,19,28,15,0.0,45.0,87,64,0,30,9,1,36,21,33,0.0,0.0,21,72,0,35,0,1,36,66,15,30.53854134131229,0.0,87,36,180,24,1,0
B-001,Bathroom - Half Bath (1-Wall),4,Rectangle,"""0,0 ;
0,60 ;
66,60 ;
66,0 ;
0,0""",57.53250495984855,63.50366056172048,89.03102292390142,30,84,30,0,30,19,28,15,0.0,32.0,27,60,0,30,9,1,30,21,33,36.0,0.0,66,60,90,35,0,1,0,0,0,0.0,63.50366056172048,0,0,270,0,0,0
B-032,Bathroom - Half Bath (2-Wall) - Facing,4,Rectangle,"""0,0 ;
0,87 ;
36,87 ;
36,0 ;
0,0""",83.211172518215,37.250330823449,88.157838338576,30,84,0,33,30,19,28,15,9.0,0.0,28,28,90,30,9,1,36,21,33,0.0,66.0,36,87,0,35,0,1,0,0,0,83.211172518215,0.0,0,0,90,0,0,1
B-038,Bathroom - Three-Quarter Bath (1-Wall),4,Rectangle,"""0,0 ;
0,102 ;
60,102 ;
60,0 ;
0,0""",103.21288209879269,62.049367328033625,102.791988913627,30,84,0,69,30,19,28,15,103.21288209879269,45.0,60,64,90,30,9,1,30,21,33,39.0,62.049367328033625,60,102,270,35,0,1,36,60,15,103.21288209879269,0.0,60,36,0,24,1,1
B-003,Bathroom - Half Bath (2-Wall),4,Rectangle,"""0,0 ;
0,57 ;
66,57 ;
66,0 ;
0,0""",56.72000141872113,72.09402572727522,97.36273046446703,30,84,33,0,30,19,28,15,0.0,9.0,28,28,0,30,9,1,36,21,33,30.0,72.09402572727522,66,57,180,35,0,1,0,0,0,56.72000141872113,0.0,0,0,90,0,0,1
B-021,Bathroom - Half Bath (2-Wall),4,Rectangle,"""0,0 ;
0,66 ;
57,66 ;
57,0 ;
0,0""",66.99776994936018,62.56580392182871,105.02989610731404,30,84,0,3,30,19,28,15,9.0,62.56580392182871,28,66,270,30,9,1,36,21,33,36.0,0.0,57,36,0,35,0,1,0,0,0,31.853916706828066,62.56580392182871,0,0,270,0,0,1
B-041,Bathroom - Three-Quarter Bath (1-Wall),4,Rectangle,"""0,0 ;
0,60 ;
102,60 ;
102,0 ;
0,0""",61.13554786739349,101.92442481490379,89.41351314059713,30,84,0,27,30,19,28,15,61.13554786739349,0.0,58,28,180,30,9,1,30,21,33,0.0,0.0,30,21,180,35,0,1,36,60,15,90.8350556019298,0.0,102,60,0,24,1,0
B-038,Bathroom - Three-Quarter Bath (1-Wall),4,Rectangle,"""0,0 ;
0,102 ;
60,102 ;
60,0 ;
0,0""",102.7273507613905,63.23432784484173,100.06318609365198,30,84,0,69,30,19,28,15,0.0,45.0,60,64,180,30,9,1,30,21,33,39.0,63.23432784484173,60,102,270,35,0,1,36,60,15,102.7273507613905,0.0,60,36,90,24,1,1
B-008,Bathroom - Three-Quarter Bath (2-Wall),4,Rectangle,"""0,0 ;
0,72 ;
100,72 ;
100,0 ;
0,0""",71.37431306691855,106.53602735370191,96.45968275195872,30,84,100,3,30,19,28,15,0.0,0.0,28,28,270,30,9,1,36,21,33,71.37431306691855,51.0,100,72,180,35,0,1,36,60,15,103.60615590124848,36.0,60,72,0,24,1,1
B-014,Bathroom - Half Bath (1-Wall),4,Rectangle,"""0,0 ;
0,60 ;
66,60 ;
66,0 ;
0,0""",65.63397445255015,69.11294510677857,88.230464714379,30,84,66,27,30,19,28,15,9.0,0.0,28,28,0,30,9,1,30,21,33,36.0,0.0,66,21,0,35,0,1,0,0,0,65.63397445255015,0.0,0,0,90,0,0,0
B-037,Bathroom - Three-Quarter Bath (1-Wall),4,Rectangle,"""0,0 ;
0,102 ;
60,102 ;
60,0 ;
0,0""",105.7075669156494,64.75061940433223,101.19839889313096,30,84,60,69,30,19,28,15,0.0,45.0,28,64,180,30,9,1,30,21,33,0.0,0.0,21,102,90,35,0,1,36,60,15,27.099431326889714,64.75061940433223,60,36,0,24,1,1
B-013,Bathroom - Half Bath (1-Wall),4,Rectangle,"""0,0 ;
0,66 ;
60,6 ;
60,0 ;
0,0""",66.01319325676259,61.439232222987314,89.57512108404697,30,84,0,3,30,19,28,15,32.0,61.439232222987314,60,58,180,30,9,1,30,21,33,66.01319325676259,0.0,60,30,0,35,0,1,0,0,0,0.0,0.0,0,0,180,0,0,0
B-003,Bathroom - Half Bath (2-Wall),4,Rectangle,"""0,0 ;
0,57 ;
66,57 ;
66,0 ;
0,0""",53.42698759003402,63.68005048881411,92.24587138418056,30,84,33,0,30,19,28,15,0.0,0.0,28,28,0,30,9,1,36,21,33,53.42698759003402,36.0,66,57,270,35,0,1,0,0,0,35.951769597591124,0.0,0,0,180,0,0,0
B-041,Bathroom - Three-Quarter Bath (1-Wall),4,Rectangle,"""0,0 ;
0,60 ;
102,60 ;
102,0 ;
0,0""",62.90925769021199,100.17009967717877,105.5901055285206,30,84,0,27,30,19,28,15,39.0,100.17009967717877,58,28,90,30,9,1,30,21,33,62.90925769021199,0.0,30,21,90,35,0,1,36,60,15,97.85198965544774,0.0,102,60,90,24,1,1
B-003,Bathroom - Half Bath (2-Wall),4,Rectangle,"""0,0 ;
0,57 ;
66,57 ;
66,0 ;
0,0""",62.40958229953107,60.07375969411005,97.08219394788654,30,84,33,0,30,19,28,15,0.0,0.0,28,28,0,30,9,1,36,21,33,30.0,60.07375969411005,66,57,180,35,0,1,0,0,0,62.40958229953107,0.0,0,0,0,0,0,0
B-004,Bathroom - Half Bath (2-Wall),4,Rectangle,"""0,0 ;
0,57 ;
66,57 ;
66,0 ;
0,0""",56.359584376306394,61.41726300693465,87.56938870571845,30,84,66,3,30,19,28,15,0.0,9.0,28,28,180,30,9,1,36,21,33,30.0,61.41726300693465,66,57,180,35,0,1,0,0,0,35.03842072702791,0.0,0,0,180,0,0,1
B-058,Bathroom - Three-Quarter Bath (Wall Facing),6,L-Shaped,"""0,6 ;
0,66 ;
96,66 ;
96,0 ;
36,0 ;
36,6 ;
0,6""",65.37887512737917,105.0515120130067,88.72662562520833,30,84,39,66,30,19,28,15,0.0,9.0,96,28,180,30,9,1,30,21,33,65.37887512737917,36.0,96,66,90,35,0,1,36,60,15,65.37887512737917,6.0,36,66,90,0,1,1
B-039,Bathroom - Three-Quarter Bath (1-Wall),4,Rectangle,"""0,0 ;
0,102 ;
60,102 ;
60,0 ;
0,0""",105.39423614648295,54.974610135328405,94.8375073873876,30,84,0,3,30,19,28,15,32.0,0.0,60,58,0,30,9,1,30,21,33,39.0,54.974610135328405,60,30,90,35,0,1,36,60,15,105.39423614648295,66.0,60,102,90,24,1,1
B-001,Bathroom - Half Bath (1-Wall),4,Rectangle,"""0,0 ;
0,60 ;
66,60 ;
66,0 ;
0,0""",64.21411499060366,61.54270503096042,92.77878750287857,30,84,30,0,30,19,28,15,8.0,61.54270503096042,27,60,0,30,9,1,30,21,33,36.0,0.0,66,60,0,35,0,1,0,0,0,38.4714120908178,61.54270503096042,0,0,270,0,0,0
B-021,Bathroom - Half Bath (2-Wall),4,Rectangle,"""0,0 ;
0,66 ;
57,66 ;
57,0 ;
0,0""",64.19377646989768,52.48156319660768,100.52520143446222,30,84,0,3,30,19,28,15,9.0,52.48156319660768,28,66,180,30,9,1,36,21,33,36.0,0.0,57,36,180,35,0,1,0,0,0,34.41787023987358,52.48156319660768,0,0,0,0,0,1
B-038,Bathroom - Three-Quarter Bath (1-Wall),4,Rectangle,"""0,0 ;
0,102 ;
60,102 ;
60,0 ;
0,0""",92.51100962307427,58.298407596159834,94.77364557025749,30,84,0,69,30,19,28,15,32.0,58.298407596159834,60,64,90,30,9,1,30,21,33,0.0,72.0,60,102,180,35,0,1,36,60,15,92.51100962307427,0.0,60,36,90,24,1,1
B-019,Bathroom - Half Bath (2-Wall),4,Rectangle,"""0,0 ;
0,57 ;
66,57 ;
66,0 ;
0,0""",58.801058756593186,65.75448762087939,94.19208773599868,30,84,3,57,30,19,28,15,38.0,65.75448762087939,66,49,270,30,9,1,36,21,33,0.0,65.75448762087939,36,21,0,35,0,1,0,0,0,30.908428018281313,65.75448762087939,0,0,270,0,0,1
B-034,Bathroom - Three-Quarter Bath (1-Wall),4,Rectangle,"""0,0 ;
0,60 ;
102,60 ;
102,0 ;
0,0""",58.02655486463061,112.02967990847064,92.02154549111687,30,84,3,60,30,19,28,15,39.0,112.02967990847064,58,28,0,30,9,1,30,21,33,0.0,112.02967990847064,30,21,180,35,0,1,36,60,15,0.0,0.0,102,60,180,24,1,1
B-046,Bathroom - Three-Quarter Bath (1-Wall),4,Rectangle,"""0,0 ;
0,102 ;
60,102 ;
60,0 ;
0,0""",110.07014818764243,54.31740986956159,99.2640471973631,30,84,3,102,30,19,28,15,110.07014818764243,44.0,60,63,180,30,9,1,30,21,33,110.07014818764243,72.0,60,102,0,35,0,1,36,60,15,110.07014818764243,0.0,60,36,180,24,1,0
B-007,Bathroom - Three-Quarter Bath (1-Wall),4,Rectangle,"""0,0 ;
0,60 ;
102,60 ;
102,0 ;
0,0""",63.161169648123035,95.63378449661518,90.60812404039989,30,84,0,3,30,19,28,15,0.0,32.0,59,60,90,30,9,1,30,21,33,0.0,0.0,30,60,0,35,0,1,36,60,15,24.36412133878139,0.0,102,60,0,24,1,1
B-020,Bathroom - Half Bath (2-Wall),4,Rectangle,"""0,0 ;
0,66 ;
57,66 ;
57,0 ;
0,0""",70.70361013152353,52.30073106393364,92.37855489443284,30,84,0,33,30,19,28,15,9.0,52.30073106393364,28,28,90,30,9,1,36,21,33,36.0,0.0,57,66,270,35,0,1,0,0,0,70.70361013152353,0.0,0,0,90,0,0,0
B-017,Bathroom - Half Bath (2-Wall),4,Rectangle,"""0,0 ;
0,57 ;
66,57 ;
66,0 ;
0,0""",53.646866484021515,72.38547295312229,89.04524450710973,30,84,3,0,30,19,28,15,38.0,72.38547295312229,66,28,270,30,9,1,36,21,33,0.0,0.0,36,57,270,35,0,1,0,0,0,0.0,72.38547295312229,0,0,270,0,0,1
B-026,Bathroom - Half Bath (2-Wall) - Facing,4,Rectangle,"""0,0 ;
0,36 ;
87,36 ;
87,0 ;
0,0""",36.97021288960857,84.52711836372099,89.16443795763035,30,84,24,0,30,19,28,15,0.0,9.0,87,28,270,30,9,1,36,21,33,0.0,0.0,21,36,90,35,0,1,0,0,0,100.35865984620477,0.0,0,0,180,0,0,0
B-004,Bathroom - Half Bath (2-Wall),4,Rectangle,"""0,0 ;
0,57 ;
66,57 ;
66,0 ;
0,0""",60.33405056158649,62.41576745895843,105.56938873473712,30,84,66,3,30,19,28,15,0.0,62.41576745895843,28,28,180,30,9,1,36,21,33,30.0,0.0,66,57,0,35,0,1,0,0,0,0.0,0.0,0,0,0,0,0,1
B-009,Bathroom - Three-Quarter Bath (2-Wall) - Center,6,L-Shaped,"""0,0 ;
87,0 ;
87,36 ;
66,36 ;
66,72 ;
0,72 ;
0,0""",66.6343722122921,85.19740816501314,104.62000351679671,30,84,33,0,30,19,28,15,0.0,85.19740816501314,28,28,180,30,9,1,36,21,33,66.0,85.19740816501314,87,36,90,35,0,1,36,60,15,0.0,0.0,60,72,270,24,1,1
B-026,Bathroom - Half Bath (2-Wall) - Facing,4,Rectangle,"""0,0 ;
0,36 ;
87,36 ;
87,0 ;
0,0""",35.17791133797738,78.35141623253244,98.68624270465341,30,84,24,0,30,19,28,15,59.0,0.0,87,28,90,30,9,1,36,21,33,0.0,0.0,21,36,0,35,0,1,0,0,0,35.17791133797738,0.0,0,0,90,0,0,0
B-057,Bathroom - Three-Quarter Bath (Wall Facing),6,L-Shaped,"""0,0 ;
96,0 ;
96,60 ;
60,66 ;
60,60 ;
0,66 ;
0,0""",67.04612855231652,94.09248514050469,96.30751374964933,30,84,27,0,30,19,28,15,0.0,39.0,28,58,180,30,9,1,30,21,33,0.0,0.0,21,30,0,35,0,1,36,60,15,60.0,94.09248514050469,96,60,90,0,1,0
B-015,Bathroom - Half Bath (1-Wall),4,Rectangle,"""0,0 ;
0,66 ;
60,6 ;
60,0 ;
0,0""",61.297496649827735,63.336132566915104,103.40157814398927,30,84,0,33,30,19,28,15,32.0,63.336132566915104,60,28,0,30,9,1,30,21,33,0.0,36.0,60,66,180,35,0,1,0,0,0,0.0,0.0,0,0,90,0,0,0
B-025,Bathroom - Half Bath (1-Wall),4,Rectangle,"""0,0 ;
0,60 ;
66,60 ;
66,0 ;
0,0""",62.774925778888644,70.38033455240277,92.65939765831615,30,84,3,60,30,19,28,15,38.0,0.0,57,28,90,30,9,1,30,21,33,0.0,0.0,30,21,180,35,0,1,0,0,0,28.007228641018877,0.0,0,0,180,0,0,1
B-003,Bathroom - Half Bath (2-Wall),4,Rectangle,"""0,0 ;
0,57 ;
66,57 ;
66,0 ;
0,0""",56.13740464259867,71.17768029529924,88.37296234801053,30,84,33,0,30,19,28,15,0.0,0.0,28,28,0,30,9,1,36,21,33,30.0,71.17768029529924,66,57,270,35,0,1,0,0,0,25.582335029653112,0.0,0,0,180,0,0,1
